12 months ending,Police force area,Region,Offence,Rolling year total number of offences
30/06/2008,Northumbria,North East,Robbery,737
30/06/2008,Northumbria,North East,Sexual offences,1117
30/06/2008,Northumbria,North East,Shoplifting,8644
30/06/2008,Northumbria,North East,Stalking and harassment,601
30/06/2008,Northumbria,North East,Theft from the person,1060
30/06/2008,Northumbria,North East,Vehicle offences,12686
30/06/2008,Northumbria,North East,Violence with injury,10843
30/06/2008,Northumbria,North East,Violence without injury,3175
30/06/2008,Nottinghamshire,East Midlands,All other theft offences,16246
30/06/2008,Nottinghamshire,East Midlands,Bicycle theft,2663
30/06/2008,Nottinghamshire,East Midlands,Criminal damage and arson,26070
30/06/2008,Nottinghamshire,East Midlands,Death or serious injury caused by illegal driving,11
30/06/2008,Nottinghamshire,East Midlands,Domestic burglary,9572
30/06/2008,Nottinghamshire,East Midlands,Drug offences,4316
30/06/2008,Nottinghamshire,East Midlands,Fraud offences,953
30/06/2008,Nottinghamshire,East Midlands,Homicide,11
30/06/2008,Nottinghamshire,East Midlands,Miscellaneous crimes against society,1385
30/06/2008,Nottinghamshire,East Midlands,Non-domestic burglary,9107
30/06/2008,Nottinghamshire,East Midlands,Possession of weapons offences,801
30/06/2008,Nottinghamshire,East Midlands,Public order offences,4187
30/06/2008,Nottinghamshire,East Midlands,Robbery,1975
30/06/2008,Nottinghamshire,East Midlands,Sexual offences,1082
30/06/2008,Nottinghamshire,East Midlands,Shoplifting,7484
30/06/2008,Nottinghamshire,East Midlands,Stalking and harassment,765
30/06/2008,Nottinghamshire,East Midlands,Theft from the person,2071
30/06/2008,Nottinghamshire,East Midlands,Vehicle offences,19287
30/06/2008,Nottinghamshire,East Midlands,Violence with injury,10842
30/06/2008,Nottinghamshire,East Midlands,Violence without injury,3992
30/06/2008,South Wales,Wales,All other theft offences,14922
30/06/2008,South Wales,Wales,Bicycle theft,1844
30/06/2008,South Wales,Wales,Criminal damage and arson,27315
30/06/2008,South Wales,Wales,Death or serious injury caused by illegal driving,11
30/06/2008,South Wales,Wales,Domestic burglary,6725
30/06/2008,South Wales,Wales,Drug offences,6298
30/06/2008,South Wales,Wales,Fraud offences,1286
30/06/2008,South Wales,Wales,Homicide,9
30/06/2008,South Wales,Wales,Miscellaneous crimes against society,1528
30/06/2008,South Wales,Wales,Non-domestic burglary,7603
30/06/2008,South Wales,Wales,Possession of weapons offences,804
30/06/2008,South Wales,Wales,Public order offences,6106
30/06/2008,South Wales,Wales,Robbery,811
30/06/2008,South Wales,Wales,Sexual offences,1105
30/06/2008,South Wales,Wales,Shoplifting,7572
30/06/2008,South Wales,Wales,Stalking and harassment,1306
30/06/2008,South Wales,Wales,Theft from the person,2223
30/06/2008,South Wales,Wales,Vehicle offences,21526
30/06/2008,South Wales,Wales,Violence with injury,10778
30/06/2008,South Wales,Wales,Violence without injury,4732
30/06/2008,South Yorkshire,Yorkshire and The Humber,All other theft offences,20523
30/06/2008,South Yorkshire,Yorkshire and The Humber,Bicycle theft,1582
30/06/2008,South Yorkshire,Yorkshire and The Humber,Criminal damage and arson,34389
30/06/2008,South Yorkshire,Yorkshire and The Humber,Death or serious injury caused by illegal driving,14
30/06/2008,South Yorkshire,Yorkshire and The Humber,Domestic burglary,8716
30/06/2008,South Yorkshire,Yorkshire and The Humber,Drug offences,4490
30/06/2008,South Yorkshire,Yorkshire and The Humber,Fraud offences,1258
30/06/2008,South Yorkshire,Yorkshire and The Humber,Homicide,29
30/06/2008,South Yorkshire,Yorkshire and The Humber,Miscellaneous crimes against society,1199
30/06/2008,South Yorkshire,Yorkshire and The Humber,Non-domestic burglary,10157
30/06/2008,South Yorkshire,Yorkshire and The Humber,Possession of weapons offences,868
30/06/2008,South Yorkshire,Yorkshire and The Humber,Public order offences,4986
30/06/2008,South Yorkshire,Yorkshire and The Humber,Robbery,1230
30/06/2008,South Yorkshire,Yorkshire and The Humber,Sexual offences,1093
30/06/2008,South Yorkshire,Yorkshire and The Humber,Shoplifting,7838
30/06/2008,South Yorkshire,Yorkshire and The Humber,Stalking and harassment,1289
30/06/2008,South Yorkshire,Yorkshire and The Humber,Theft from the person,1985
30/06/2008,South Yorkshire,Yorkshire and The Humber,Vehicle offences,22901
30/06/2008,South Yorkshire,Yorkshire and The Humber,Violence with injury,13819
30/06/2008,South Yorkshire,Yorkshire and The Humber,Violence without injury,3027
30/06/2008,Staffordshire,West Midlands,All other theft offences,12027
30/06/2008,Staffordshire,West Midlands,Bicycle theft,1240
30/06/2008,Staffordshire,West Midlands,Criminal damage and arson,19578
30/06/2008,Staffordshire,West Midlands,Death or serious injury caused by illegal driving,4
30/06/2008,Staffordshire,West Midlands,Domestic burglary,4193
30/06/2008,Staffordshire,West Midlands,Drug offences,3397
30/06/2008,Staffordshire,West Midlands,Fraud offences,1106
30/06/2008,Staffordshire,West Midlands,Homicide,14
30/06/2008,Staffordshire,West Midlands,Miscellaneous crimes against society,1119
30/06/2008,Staffordshire,West Midlands,Non-domestic burglary,5823
30/06/2008,Staffordshire,West Midlands,Possession of weapons offences,484
30/06/2008,Staffordshire,West Midlands,Public order offences,3594
30/06/2008,Staffordshire,West Midlands,Robbery,668
30/06/2008,Staffordshire,West Midlands,Sexual offences,1007
30/06/2008,Staffordshire,West Midlands,Shoplifting,5363
30/06/2008,Staffordshire,West Midlands,Stalking and harassment,1006
30/06/2008,Staffordshire,West Midlands,Theft from the person,1148
30/06/2008,Staffordshire,West Midlands,Vehicle offences,10279
30/06/2008,Staffordshire,West Midlands,Violence with injury,9350
30/06/2008,Staffordshire,West Midlands,Violence without injury,5350
30/06/2008,Suffolk,East,All other theft offences,5910
30/06/2008,Suffolk,East,Bicycle theft,1622
30/06/2008,Suffolk,East,Criminal damage and arson,11724
30/06/2008,Suffolk,East,Death or serious injury caused by illegal driving,4
30/06/2008,Suffolk,East,Domestic burglary,1714
30/06/2008,Suffolk,East,Drug offences,1982
30/06/2008,Suffolk,East,Fraud offences,748
30/06/2008,Suffolk,East,Homicide,4
30/06/2008,Suffolk,East,Miscellaneous crimes against society,750
30/06/2008,Suffolk,East,Non-domestic burglary,3075
30/06/2008,Suffolk,East,Possession of weapons offences,356
30/06/2008,Suffolk,East,Public order offences,3042
30/06/2008,Suffolk,East,Robbery,260
30/06/2008,Suffolk,East,Sexual offences,660
30/06/2008,Suffolk,East,Shoplifting,3025
30/06/2008,Suffolk,East,Stalking and harassment,372
30/06/2008,Suffolk,East,Theft from the person,641
30/06/2008,Suffolk,East,Vehicle offences,5099
30/06/2008,Suffolk,East,Violence with injury,3903
30/06/2008,Suffolk,East,Violence without injury,2159
30/06/2008,Surrey,South East,All other theft offences,9322
30/06/2008,Surrey,South East,Bicycle theft,1483
30/06/2008,Surrey,South East,Criminal damage and arson,15691
30/06/2008,Surrey,South East,Death or serious injury caused by illegal driving,5
30/06/2008,Surrey,South East,Domestic burglary,3448
30/06/2008,Surrey,South East,Drug offences,2486
30/06/2008,Surrey,South East,Fraud offences,1130
30/06/2008,Surrey,South East,Homicide,8
30/06/2008,Surrey,South East,Miscellaneous crimes against society,926
30/06/2008,Surrey,South East,Non-domestic burglary,4095
30/06/2008,Surrey,South East,Possession of weapons offences,399
30/06/2008,Surrey,South East,Public order offences,4400
30/06/2008,Surrey,South East,Robbery,407
30/06/2008,Surrey,South East,Sexual offences,659
30/06/2008,Surrey,South East,Shoplifting,3806
30/06/2008,Surrey,South East,Stalking and harassment,706
30/06/2008,Surrey,South East,Theft from the person,417
30/06/2008,Surrey,South East,Vehicle offences,8810
30/06/2008,Surrey,South East,Violence with injury,4888
30/06/2008,Surrey,South East,Violence without injury,3737
30/06/2008,Sussex,South East,All other theft offences,17444
30/06/2008,Sussex,South East,Bicycle theft,2740
30/06/2008,Sussex,South East,Criminal damage and arson,25602
30/06/2008,Sussex,South East,Death or serious injury caused by illegal driving,11
30/06/2008,Sussex,South East,Domestic burglary,4123
30/06/2008,Sussex,South East,Drug offences,5625
30/06/2008,Sussex,South East,Fraud offences,1877
30/06/2008,Sussex,South East,Homicide,11
30/06/2008,Sussex,South East,Miscellaneous crimes against society,1822
30/06/2008,Sussex,South East,Non-domestic burglary,6659
30/06/2008,Sussex,South East,Possession of weapons offences,1056
30/06/2008,Sussex,South East,Public order offences,4565
30/06/2008,Sussex,South East,Robbery,873
30/06/2008,Sussex,South East,Sexual offences,1324
30/06/2008,Sussex,South East,Shoplifting,8138
30/06/2008,Sussex,South East,Stalking and harassment,1637
30/06/2008,Sussex,South East,Theft from the person,2639
30/06/2008,Sussex,South East,Vehicle offences,11862
30/06/2008,Sussex,South East,Violence with injury,9267
30/06/2008,Sussex,South East,Violence without injury,7978
30/06/2008,Thames Valley,South East,All other theft offences,30610
30/06/2008,Thames Valley,South East,Bicycle theft,5389
30/06/2008,Thames Valley,South East,Criminal damage and arson,34669
30/06/2008,Thames Valley,South East,Death or serious injury caused by illegal driving,20
30/06/2008,Thames Valley,South East,Domestic burglary,10991
30/06/2008,Thames Valley,South East,Drug offences,8160
30/06/2008,Thames Valley,South East,Fraud offences,3135
30/06/2008,Thames Valley,South East,Homicide,16
30/06/2008,Thames Valley,South East,Miscellaneous crimes against society,2154
30/06/2008,Thames Valley,South East,Non-domestic burglary,11613
30/06/2008,Thames Valley,South East,Possession of weapons offences,1174
30/06/2008,Thames Valley,South East,Public order offences,10537
30/06/2008,Thames Valley,South East,Robbery,2171
30/06/2008,Thames Valley,South East,Sexual offences,2098
30/06/2008,Thames Valley,South East,Shoplifting,12186
30/06/2008,Thames Valley,South East,Stalking and harassment,4475
30/06/2008,Thames Valley,South East,Theft from the person,3606
30/06/2008,Thames Valley,South East,Vehicle offences,27026
30/06/2008,Thames Valley,South East,Violence with injury,14345
30/06/2008,Thames Valley,South East,Violence without injury,12538
30/06/2008,Warwickshire,West Midlands,All other theft offences,5118
30/06/2008,Warwickshire,West Midlands,Bicycle theft,832
30/06/2008,Warwickshire,West Midlands,Criminal damage and arson,8903
30/06/2008,Warwickshire,West Midlands,Death or serious injury caused by illegal driving,9
30/06/2008,Warwickshire,West Midlands,Domestic burglary,2268
30/06/2008,Warwickshire,West Midlands,Drug offences,1314
30/06/2008,Warwickshire,West Midlands,Fraud offences,492
30/06/2008,Warwickshire,West Midlands,Homicide,6
30/06/2008,Warwickshire,West Midlands,Miscellaneous crimes against society,384
30/06/2008,Warwickshire,West Midlands,Non-domestic burglary,3143
30/06/2008,Warwickshire,West Midlands,Possession of weapons offences,242
30/06/2008,Warwickshire,West Midlands,Public order offences,1790
30/06/2008,Warwickshire,West Midlands,Robbery,371
30/06/2008,Warwickshire,West Midlands,Sexual offences,389
30/06/2008,Warwickshire,West Midlands,Shoplifting,1879
30/06/2008,Warwickshire,West Midlands,Stalking and harassment,174
30/06/2008,Warwickshire,West Midlands,Theft from the person,373
30/06/2008,Warwickshire,West Midlands,Vehicle offences,5504
30/06/2008,Warwickshire,West Midlands,Violence with injury,3588
30/06/2008,Warwickshire,West Midlands,Violence without injury,2143
30/06/2008,West Mercia,West Midlands,All other theft offences,10395
30/06/2008,West Mercia,West Midlands,Bicycle theft,1585
30/06/2008,West Mercia,West Midlands,Criminal damage and arson,18183
30/06/2008,West Mercia,West Midlands,Death or serious injury caused by illegal driving,11
30/06/2008,West Mercia,West Midlands,Domestic burglary,3713
30/06/2008,West Mercia,West Midlands,Drug offences,2569
30/06/2008,West Mercia,West Midlands,Fraud offences,1064
30/06/2008,West Mercia,West Midlands,Homicide,10
30/06/2008,West Mercia,West Midlands,Miscellaneous crimes against society,1021
30/06/2008,West Mercia,West Midlands,Non-domestic burglary,6929
30/06/2008,West Mercia,West Midlands,Possession of weapons offences,604
30/06/2008,West Mercia,West Midlands,Public order offences,3167
30/06/2008,West Mercia,West Midlands,Robbery,513
30/06/2008,West Mercia,West Midlands,Sexual offences,1079
30/06/2008,West Mercia,West Midlands,Shoplifting,5635
30/06/2008,West Mercia,West Midlands,Stalking and harassment,767
30/06/2008,West Mercia,West Midlands,Theft from the person,973
30/06/2008,West Mercia,West Midlands,Vehicle offences,9327
30/06/2008,West Mercia,West Midlands,Violence with injury,8108
30/06/2008,West Mercia,West Midlands,Violence without injury,3398
30/06/2008,West Midlands,West Midlands,All other theft offences,28173
30/06/2008,West Midlands,West Midlands,Bicycle theft,2928
30/06/2008,West Midlands,West Midlands,Criminal damage and arson,44735
30/06/2008,West Midlands,West Midlands,Death or serious injury caused by illegal driving,25
30/06/2008,West Midlands,West Midlands,Domestic burglary,17705
30/06/2008,West Midlands,West Midlands,Drug offences,9432
30/06/2008,West Midlands,West Midlands,Fraud offences,2753
30/06/2008,West Midlands,West Midlands,Homicide,42
30/06/2008,West Midlands,West Midlands,Miscellaneous crimes against society,3051
30/06/2008,West Midlands,West Midlands,Non-domestic burglary,17020
30/06/2008,West Midlands,West Midlands,Possession of weapons offences,2456
30/06/2008,West Midlands,West Midlands,Public order offences,9543
30/06/2008,West Midlands,West Midlands,Robbery,7471
30/06/2008,West Midlands,West Midlands,Sexual offences,2877
30/06/2008,West Midlands,West Midlands,Shoplifting,14384
30/06/2008,West Midlands,West Midlands,Stalking and harassment,3800
30/06/2008,West Midlands,West Midlands,Theft from the person,2658
30/06/2008,West Midlands,West Midlands,Vehicle offences,36424
30/06/2008,West Midlands,West Midlands,Violence with injury,32236
30/06/2008,West Midlands,West Midlands,Violence without injury,6815
30/06/2008,West Yorkshire,Yorkshire and The Humber,All other theft offences,32813
30/06/2008,West Yorkshire,Yorkshire and The Humber,Bicycle theft,2242
30/06/2008,West Yorkshire,Yorkshire and The Humber,Criminal damage and arson,50247
30/06/2008,West Yorkshire,Yorkshire and The Humber,Death or serious injury caused by illegal driving,17
30/06/2008,West Yorkshire,Yorkshire and The Humber,Domestic burglary,19376
30/06/2008,West Yorkshire,Yorkshire and The Humber,Drug offences,6206
30/06/2008,West Yorkshire,Yorkshire and The Humber,Fraud offences,2316
30/06/2008,West Yorkshire,Yorkshire and The Humber,Homicide,42
30/06/2008,West Yorkshire,Yorkshire and The Humber,Miscellaneous crimes against society,2694
30/06/2008,West Yorkshire,Yorkshire and The Humber,Non-domestic burglary,17276
30/06/2008,West Yorkshire,Yorkshire and The Humber,Possession of weapons offences,1114
30/06/2008,West Yorkshire,Yorkshire and The Humber,Public order offences,7130
